Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
lebendigA,NA,Adjective,0.794,0.167,0.627,1
HoheN,NA,Noun,0.759,0.155,0.604,2
fliehenV,Motion,Verb,0.75,0.149,0.601,3
regnenV,NA,Verb,0.774,0.176,0.598,4
LangeN,NA,Noun,0.758,0.171,0.587,5
neunzigNUM,NA,Numerical,0.731,0.148,0.583,6
sechzigNUM,NA,Numerical,0.762,0.182,0.579,7
funfzigNUM,NA,Numerical,0.744,0.165,0.579,8
SchattenN,The physical world,Noun,0.773,0.198,0.575,9
zuhorenV,Sense perception,Verb,0.741,0.172,0.569,10
weckenV,NA,Verb,0.713,0.144,0.569,11
RegenN,The physical world,Noun,0.743,0.178,0.565,12
wieFADV,Cognition,Interrogative (adv.),0.709,0.153,0.555,13
KalteN,NA,Noun,0.724,0.17,0.555,14
tunV,Basic actions and technology,Verb,0.753,0.2,0.554,15
GrasN,Agriculture and vegetation,Noun,0.733,0.18,0.553,16
ZehN,The body,Noun,0.691,0.141,0.55,17
einschlafenV,NA,Verb,0.696,0.146,0.55,18
sagenV,Speech and language,Verb,0.745,0.194,0.55,19
KopfN,The body,Noun,0.699,0.151,0.548,20
lachenV,Emotions and values,Verb,0.716,0.168,0.547,21
hellA,Sense perception,Adjective,0.724,0.176,0.547,22
feuchtA,NA,Adjective,0.707,0.162,0.545,23
gebenV,Possession,Verb,0.732,0.186,0.545,24
bitterA,Sense perception,Adjective,0.695,0.152,0.543,25
verkaufenV,Possession,Verb,0.745,0.202,0.543,26
abschneidenV,NA,Verb,0.709,0.169,0.54,27
SteinN,NA,Noun,0.696,0.155,0.54,28
FliegeN,Animals,Noun,0.744,0.205,0.539,29
ersterA,Quantity,Adjective,0.681,0.143,0.538,30
rennenV,Motion,Verb,0.693,0.155,0.538,31
neunNUM,Quantity,Numerical,0.755,0.219,0.536,32
stromenV,NA,Verb,0.683,0.149,0.534,33
KohleN,The physical world,Noun,0.728,0.196,0.532,34
flieenV,Motion,Verb,0.686,0.154,0.532,35
laufenV,Motion,Verb,0.683,0.151,0.532,36
hustenV,The body,Verb,0.705,0.174,0.53,37
fliegenV,Motion,Verb,0.679,0.15,0.529,38
zehnNUM,Quantity,Numerical,0.747,0.22,0.528,39
RegenbogenN,The physical world,Noun,0.746,0.219,0.527,40
rohA,Food and drink,Adjective,0.738,0.214,0.524,41
machenV,Basic actions and technology,Verb,0.673,0.149,0.524,42
TropfenN,NA,Noun,0.727,0.204,0.524,43
SeiteN,NA,Noun,0.741,0.218,0.522,44
hangenV,NA,Verb,0.715,0.195,0.521,45
stehlenV,Law,Verb,0.695,0.175,0.519,46
BirkeN,Agriculture and vegetation,Noun,0.669,0.151,0.519,47
HaseN,Animals,Noun,0.699,0.182,0.517,48
BaumN,Agriculture and vegetation,Noun,0.685,0.17,0.516,49
FrostN,NA,Noun,0.725,0.211,0.515,50
HitzeN,NA,Noun,0.691,0.177,0.514,51
warmA,Sense perception,Adjective,0.664,0.153,0.511,52
brennenV,The physical world,Verb,0.784,0.274,0.511,53
fernA,Spatial relations,Adjective,0.672,0.162,0.51,54
hartA,Sense perception,Adjective,0.709,0.199,0.51,55
rechterA,Spatial relations,Adjective,0.679,0.17,0.509,56
kehrenV,Basic actions and technology,Verb,0.684,0.175,0.509,57
HaarN,NA,Noun,0.707,0.201,0.506,58
hierADV,Miscellaneous function words,Adverb,0.648,0.145,0.503,59
FingerN,The body,Noun,0.782,0.278,0.503,60
lautenV,NA,Verb,0.702,0.199,0.503,61
JahrN,Time,Noun,0.74,0.238,0.502,62
MundN,The body,Noun,0.667,0.166,0.5,63
StutzeN,NA,Noun,0.654,0.156,0.499,64
offenA,NA,Adjective,0.7,0.202,0.498,65
erkennenV,NA,Verb,0.677,0.181,0.497,66
unterPRP,Spatial relations,Preposition,0.639,0.144,0.495,67
WasserN,The physical world,Noun,0.674,0.18,0.494,68
stohnenV,Emotions and values,Verb,0.726,0.233,0.493,69
breitA,Spatial relations,Adjective,0.656,0.164,0.492,70
rauchenV,NA,Verb,0.669,0.178,0.491,71
steckenV,NA,Verb,0.647,0.157,0.49,72
NagelAnatomieN,NA,Noun,0.7,0.21,0.49,73
GelachterN,NA,Noun,0.66,0.172,0.487,74
fettA,NA,Adjective,0.746,0.259,0.487,75
HandN,The body,Noun,0.666,0.18,0.487,76
MannN,Kinship,Noun,0.688,0.201,0.487,77
hebenV,NA,Verb,0.645,0.159,0.486,78
HautN,The body,Noun,0.661,0.175,0.486,79
offnenV,Spatial relations,Verb,0.675,0.19,0.485,80
hundertNUM,Quantity,Numerical,0.656,0.171,0.485,81
GurtelN,Clothing and grooming,Noun,0.652,0.167,0.485,82
wievielFNUM,Cognition,Interrogative (num.),0.69,0.207,0.482,83
erscheinenV,NA,Verb,0.68,0.198,0.482,84
schwimmenV,Motion,Verb,0.681,0.2,0.481,85
FleischN,Food and drink,Noun,0.633,0.153,0.48,86
KlaueN,The body,Noun,0.694,0.214,0.48,87
kaltA,Sense perception,Adjective,0.731,0.251,0.48,88
hungrigA,Food and drink,Adjective,0.707,0.228,0.479,89
RuckenN,The body,Noun,0.725,0.246,0.479,90
EndeN,Spatial relations,Noun,0.64,0.163,0.477,91
nahenV,Clothing and grooming,Verb,0.631,0.155,0.476,92
dunkelA,Sense perception,Adjective,0.639,0.163,0.476,93
ArmN,The body,Noun,0.793,0.318,0.475,94
umkommenV,NA,Verb,0.688,0.216,0.472,95
stechenV,NA,Verb,0.695,0.224,0.471,96
vollA,Quantity,Adjective,0.715,0.244,0.471,97
backenV,Food and drink,Verb,0.714,0.243,0.471,98
EllenbogenN,The body,Noun,0.625,0.155,0.47,99
WindN,The physical world,Noun,0.664,0.195,0.469,100
zuerstADV,NA,Adverb,0.667,0.198,0.469,101
langeADV,Time,Adverb,0.643,0.175,0.468,102
heiA,Sense perception,Adjective,0.656,0.189,0.468,103
liegenV,NA,Verb,0.667,0.2,0.467,104
EiN,Food and drink,Noun,0.707,0.24,0.467,105
schmalA,Spatial relations,Adjective,0.741,0.275,0.465,106
LugeN,NA,Noun,0.635,0.17,0.465,107
morgenADV,Time,Adverb,0.67,0.206,0.464,108
RauchN,The physical world,Noun,0.749,0.287,0.462,109
atmenV,The body,Verb,0.684,0.222,0.462,110
wissenV,Cognition,Verb,0.76,0.3,0.461,111
zwanzigNUM,Quantity,Numerical,0.664,0.204,0.461,112
nichtADV,Miscellaneous function words,Adverb,0.673,0.213,0.46,113
FerseN,The body,Noun,0.624,0.165,0.46,114
haltenV,Possession,Verb,0.674,0.214,0.46,115
neuA,Time,Adjective,0.656,0.196,0.459,116
pfluckenV,NA,Verb,0.63,0.173,0.457,117
BogenWaffeN,Warfare and hunting,Noun,0.757,0.3,0.456,118
GegenstandN,NA,Noun,0.647,0.191,0.456,119
SchwesterN,Kinship,Noun,0.666,0.21,0.456,120
kommenV,Motion,Verb,0.686,0.23,0.456,121
furchtenV,NA,Verb,0.615,0.161,0.455,122
FingernagelN,The body,Noun,0.69,0.236,0.454,123
bellenV,NA,Verb,0.663,0.21,0.454,124
bindenV,Basic actions and technology,Verb,0.632,0.178,0.453,125
ArmelN,NA,Noun,0.743,0.29,0.453,126
dortADV,Miscellaneous function words,Adverb,0.61,0.157,0.453,127
SohnN,Kinship,Noun,0.702,0.249,0.453,128
LebenN,The body,Noun,0.619,0.167,0.452,129
GluckN,NA,Noun,0.69,0.239,0.452,130
SilberN,Basic actions and technology,Noun,0.677,0.226,0.451,131
HeuN,Agriculture and vegetation,Noun,0.709,0.258,0.451,132
MengeN,NA,Noun,0.637,0.187,0.45,133
OstenN,Spatial relations,Noun,0.627,0.177,0.45,134
NetzN,NA,Noun,0.626,0.177,0.449,135
spielenV,Emotions and values,Verb,0.617,0.168,0.449,136
LichtN,The physical world,Noun,0.614,0.166,0.447,137
schneidenV,Basic actions and technology,Verb,0.615,0.168,0.447,138
TochterN,Kinship,Noun,0.738,0.29,0.447,139
nahA,Spatial relations,Adjective,0.585,0.138,0.447,140
klirrenV,NA,Verb,0.607,0.16,0.446,141
mitteilenV,NA,Verb,0.699,0.253,0.446,142
FellN,Clothing and grooming,Noun,0.666,0.22,0.446,143
MonatN,Time,Noun,0.711,0.266,0.445,144
sprechenV,Speech and language,Verb,0.611,0.166,0.445,145
gutA,Emotions and values,Adjective,0.592,0.148,0.444,146
fegenV,Basic actions and technology,Verb,0.613,0.168,0.444,147
futternV,NA,Verb,0.615,0.171,0.443,148
WestenN,Spatial relations,Noun,0.639,0.195,0.443,149
fallenV,Motion,Verb,0.628,0.186,0.443,150
FettN,Food and drink,Noun,0.682,0.239,0.442,151
FestlandN,The physical world,Noun,0.647,0.205,0.442,152
untergehenSonneV,NA,Verb,0.618,0.176,0.442,153
soADV,NA,Adverb,0.646,0.204,0.442,154
grunA,Sense perception,Adjective,0.772,0.331,0.441,155
SpurN,NA,Noun,0.669,0.228,0.441,156
suA,Sense perception,Adjective,0.632,0.193,0.438,157
verfaulenV,NA,Verb,0.625,0.186,0.438,158
fischenV,NA,Verb,0.768,0.33,0.438,159
dunnA,Spatial relations,Adjective,0.663,0.226,0.437,160
WahrheitN,NA,Noun,0.657,0.221,0.436,161
WetterN,The physical world,Noun,0.759,0.324,0.434,162
schmerzenV,NA,Verb,0.61,0.176,0.434,163
SchneeN,The physical world,Noun,0.727,0.293,0.434,164
achtNUM,Quantity,Numerical,0.658,0.225,0.433,165
vierzigNUM,NA,Numerical,0.622,0.189,0.432,166
blasenV,NA,Verb,0.718,0.288,0.43,167
findenV,Possession,Verb,0.656,0.228,0.429,168
AmeiseN,Animals,Noun,0.65,0.221,0.429,169
zerbrechenV,NA,Verb,0.667,0.238,0.429,170
verstehenV,NA,Verb,0.583,0.155,0.428,171
GottN,NA,Noun,0.687,0.259,0.427,172
rufenV,Speech and language,Verb,0.697,0.27,0.427,173
ZungeN,The body,Noun,0.759,0.332,0.427,174
MorgenN,Time,Noun,0.687,0.261,0.426,175
schlagenV,NA,Verb,0.669,0.243,0.426,176
SternN,The physical world,Noun,0.592,0.166,0.426,177
FreundN,Social and political relations,Noun,0.678,0.253,0.425,178
schwarzA,Sense perception,Adjective,0.636,0.212,0.424,179
letzterA,Quantity,Adjective,0.588,0.165,0.424,180
StrichN,NA,Noun,0.611,0.187,0.424,181
LausN,NA,Noun,0.661,0.238,0.423,182
TraumN,NA,Noun,0.607,0.186,0.421,183
KinnN,The body,Noun,0.649,0.228,0.421,184
sterbenV,The body,Verb,0.694,0.273,0.421,185
verbindenV,NA,Verb,0.625,0.204,0.421,186
dichtA,NA,Adjective,0.694,0.274,0.42,187
VaterN,Kinship,Noun,0.628,0.207,0.42,188
zeigenV,Sense perception,Verb,0.588,0.169,0.419,189
elfNUM,Quantity,Numerical,0.616,0.197,0.419,190
schlafenV,The body,Verb,0.582,0.163,0.418,191
faulenV,NA,Verb,0.572,0.154,0.418,192
KnochenN,The body,Noun,0.678,0.261,0.418,193
MesserN,Basic actions and technology,Noun,0.562,0.147,0.415,194
verlierenV,NA,Verb,0.702,0.287,0.415,195
rotA,Sense perception,Adjective,0.687,0.274,0.413,196
teilenV,Spatial relations,Verb,0.716,0.302,0.413,197
anbindenV,NA,Verb,0.589,0.177,0.412,198
weichA,Sense perception,Adjective,0.68,0.268,0.412,199
LehmN,Basic actions and technology,Noun,0.627,0.216,0.411,200
KuhN,Animals,Noun,0.661,0.25,0.411,201
HerzN,The body,Noun,0.694,0.285,0.409,202
HerbstN,Time,Noun,0.604,0.195,0.408,203
einwickelnV,Motion,Verb,0.569,0.161,0.408,204
MilchN,Food and drink,Noun,0.655,0.246,0.408,205
AscheN,The physical world,Noun,0.602,0.194,0.407,206
gieenV,NA,Verb,0.596,0.189,0.407,207
richtigA,Emotions and values,Adjective,0.686,0.279,0.407,208
RandN,NA,Noun,0.538,0.132,0.406,209
versinkenV,NA,Verb,0.661,0.257,0.404,210
allesPRN,Quantity,Pronoun,0.642,0.239,0.403,211
sammelnV,Spatial relations,Verb,0.578,0.175,0.403,212
nehmenV,Possession,Verb,0.563,0.161,0.402,213
FlugelN,The body,Noun,0.592,0.192,0.401,214
spulenV,NA,Verb,0.603,0.203,0.401,215
schmelzenV,NA,Verb,0.551,0.151,0.4,216
BauchN,The body,Noun,0.601,0.201,0.4,217
MoorN,NA,Noun,0.578,0.178,0.4,218
zwolfNUM,Quantity,Numerical,0.598,0.198,0.4,219
zudeckenV,NA,Verb,0.624,0.224,0.4,220
gesternADV,Time,Adverb,0.56,0.16,0.4,221
vierNUM,Quantity,Numerical,0.822,0.423,0.399,222
FuN,The body,Noun,0.659,0.261,0.398,223
SpielN,NA,Noun,0.61,0.212,0.398,224
lernenV,Cognition,Verb,0.664,0.267,0.397,225
MausN,NA,Noun,0.592,0.196,0.397,226
anzundenV,The physical world,Verb,0.561,0.165,0.396,227
HimmelN,The physical world,Noun,0.64,0.243,0.396,228
SpinneN,Animals,Noun,0.629,0.233,0.395,229
ZahnN,The body,Noun,0.698,0.303,0.395,230
vorPRP,Spatial relations,Preposition,0.538,0.143,0.395,231
FederN,The body,Noun,0.657,0.263,0.395,232
OberschenkelN,NA,Noun,0.548,0.154,0.395,233
stehenV,Spatial relations,Verb,0.678,0.283,0.394,234
GangN,NA,Noun,0.576,0.183,0.394,235
